Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_152066804,2 Beds,2 Baths,,"('3,797,034 Sqft', ' sqft')",Condominium,"439,000 ",Mexico
l_154029550,2 Beds,2 Baths,,"('1,915.98 Sqft', ' sqft')",Residential,"188,493.535389 ",Mexico
l_137592143,2 Beds,2 Baths,,"('1,937.72 Sqft', ' sqft')",Residential,"239,900 ",Mexico
l_141620280,4 Beds,4 Baths,,"('4,531.61 Sqft', ' sqft')",Residential,"899,000 ",Mexico
l_155924010,3 Beds,3 Baths,0.086 ac Lot Size,"('2,507.99 Sqft', ' sqft')",Residential,"850,000 ",Mexico
l_158298160,3 Beds,3 Baths,,"('2,875.47 Sqft', ' sqft')",Residential,"1,319,623.179624 ",Mexico
l_152698180,2 Beds,2 Baths,,"('1,463.89 Sqft', ' sqft')",Condominium,"347,150 ",Mexico
l_158033845,2 Beds,2 Baths,,"('2,174.31 Sqft', ' sqft')",Residential,"309,000 ",Mexico
l_158162590,2 Beds,2 Baths,0.032 ac Lot Size,"('1,108.28 Sqft', ' sqft')",Condominium,"527,711 ",Mexico
l_123204477,3 Beds,3 Baths,,"('1,367.2 Sqft', ' sqft')",Residential,"631,473 ",Mexico
l_157539365,,,0.291 ac Lot Size,,Residential,"311,000 ",Mexico
l_158013908,2 Beds,2 Baths,,"('1,422 Sqft', ' sqft')",Residential,"350,000 ",Mexico
l_158716427,2 Beds,2 Baths,,"('101 Sqft', ' sqft')",Residential,"225,000 ",Mexico
l_157720948,4 Beds,4 Baths,,"('3,651.76 Sqft', ' sqft')",Residential,"485,294.11 ",Mexico
l_160823240,2 Beds,2 Baths,,"('1,500 Sqft', ' sqft')",Residential,"369,000 ",Mexico
l_157719495,2 Beds,2 Baths,,,Residential,"299,000 ",Mexico
l_154574397,2 Beds,2 Baths,161 ac Lot Size,"('2,045.14 Sqft', ' sqft')",Residential,"265,000 ",Mexico
l_152770577,4 Beds,4 Baths,,"('3,188.05 Sqft', ' sqft')",Residential,"478,400 ",Mexico
l_153878422,3 Beds,2 Baths,,"('1,539.24 Sqft', ' sqft')",Residential,"208,965.749517 ",Mexico
l_121466602,,1 Bath,,"('419.79 Sqft', ' sqft')",Residential,"129,410 ",Mexico
l_156109880,1 Bed,1 Bath,,"('796.53 Sqft', ' sqft')",Condominium,"277,875 ",Mexico
l_155481079,,,,"('11,177 Sqft', ' sqft')",Lots and Land,"1,380,000  820",Mexico
l_135694377,1 Bed,1 Bath,,"('708.81 Sqft', ' sqft')",Residential,"299,915.196072 ",Mexico
l_123468912,2 Beds,2 Baths,,"('1,426.2 Sqft', ' sqft')",Residential,"339,000 ",Mexico
l_154029488,1 Bed,1 Bath,,"('592.02 Sqft', ' sqft')",Residential,"169,632.034898 ",Mexico
l_144284533,2 Beds,2 Baths,,"('1,754.52 Sqft', ' sqft')",Residential,"477,000 ",Mexico
l_153876409,3 Beds,1 Bath,0.079 ac Lot Size,"('2,077.43 Sqft', ' sqft')",Residential,"199,900 ",Mexico
l_142630738,2 Beds,2 Baths,,"('1,530 Sqft', ' sqft')",Residential,"249,000 ",Mexico
l_158576087,2 Beds,2 Baths,,"('953.68 Sqft', ' sqft')",Residential,"147,000 ",Mexico
l_140734676,2 Beds,1 Bath,,"('1,098 Sqft', ' sqft')",Residential,"116,000 ",Mexico
