Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_158469209,2 Beds,1 Bath,0.028 ac Lot Size,,Residential,"2,150,000  350",Honduras
l_158850373,5 Beds,3 Baths,,"('1,800 Sqft', ' sqft')",Multifamily,"230,000 ",Honduras
l_137491026,,,,,Residential,"54,900 ",Honduras
l_107575113,2 Beds,1 Bath,,,Residential,"88,000 ",Honduras
l_140533174,2 Beds,2 Baths,0.13 ac Lot Size,,Residential,"289,000 ",Honduras
l_150294591,,,,,Lots And Land,"4,900,000 ",Honduras
l_137928657,,,,,Residential,"75,000 ",Honduras
l_108962156,,,,,Residential,"30,000 ",Honduras
l_150294624,,,,,Lots And Land,"99,000 ",Honduras
l_107461715,,,,,Residential,"680,000 ",Honduras
l_160171916,5 Beds,5 Baths,0.134 ac Lot Size,,Residential,"304,000 ",Honduras
l_158856629,,,0.104 ac Lot Size,,Lots And Land,"60,000 ",Honduras
l_150294621,4 Beds,4 Baths,,,Residential,"899,000 ",Honduras
l_150294602,,,,,Lots And Land,"72,100 ",Honduras
l_158288731,6 Beds,6 Baths,,,Residential,"274,869 ",Honduras
l_160507223,,,207.245 ac Lot Size,,Lots And Land,"4,130,000 ",Honduras
l_157288744,,,,,Residential,"49,000 ",Honduras
l_153802414,,,,,Lots and Land,"100,000 ",Honduras
l_158290898,3 Beds,3 Baths,0.1 ac Lot Size,"('1,280 Sqft', ' sqft')",Residential,"235,000 ",Honduras
l_155299342,,,0.237 ac Lot Size,,Lots and Land,"150,000 ",Honduras
l_108343894,2 Beds,2 Baths,,,Residential,"900,000 ",Honduras
l_153973808,,,0.049 ac Lot Size,,Lots And Land,"13,900  336",Honduras
l_155300519,3 Beds,2 Baths,,"('2,389 Sqft', ' sqft')",Residential,"440,000 ",Honduras
l_160507225,6 Beds,6 Baths,0.226 ac Lot Size,,Residential,"490,000 ",Honduras
l_150294622,3 Beds,4 Baths,,,Residential,"175,000 ",Honduras
l_153391017,2 Beds,1 Bath,,"('850 Sqft', ' sqft')",Residential,"190,000 ",Honduras
l_158973267,,,,,Residential,"390,000 ",Honduras
l_159772243,5 Beds,4 Baths,0.72 ac Lot Size,"('3,900 Sqft', ' sqft')",Residential,"775,000 ",Honduras
l_150294605,,,,,Lots And Land,"33,000 ",Honduras
l_138253943,3 Beds,,,,Residential,"1,390,000 ",Honduras
l_150294604,,,,,Lots And Land,"59,000 ",Honduras
l_150294594,,,,,Lots And Land,"199,000 ",Honduras
l_155030981,4 Beds,4 Baths,0.059 ac Lot Size,,Residential,"186,000 ",Honduras
l_107772688,,,,,Residential,"89,000 ",Honduras
l_155697168,,,11.836 ac Lot Size,,Lots And Land,"3,030,000 ",Honduras
l_111965754,,,,,Residential,"40,000 ",Honduras
l_157293352,2 Beds,1 Bath,,"('968 Sqft', ' sqft')",Residential,"260,000 ",Honduras
