Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_141945722,,,7.66 ac Lot Size,,Lots and Land,"1,325,000  175",Costa Rica
l_159316229,4 Beds,4 Baths,12.407 ac Lot Size,,Residential,"899,000 ",Costa Rica
l_141152571,2 Beds,2 Baths,,"('1,129 Sqft', ' sqft')",Condominium,"370,000 ",Costa Rica
l_143000144,4 Beds,2 Baths,,"('3,982.68 Sqft', ' sqft')",Residential,"650,000 ",Costa Rica
l_160079408,3 Beds,3 Baths,,"('2,798.62 Sqft', ' sqft')",Residential,"1,200,000 ",Costa Rica
l_158533232,6 Beds,6 Baths,0.53 ac Lot Size,"('7,696 Sqft', ' sqft')",Residential,"2,300,000 ",Costa Rica
l_159660047,3 Beds,2 Baths,0.93 ac Lot Size,"('1,614.59 Sqft', ' sqft')",Residential,"398,000 ",Costa Rica
l_155077504,2 Beds,2 Baths,0.133 ac Lot Size,"('1,000 Sqft', ' sqft')",Residential,"449,000 ",Costa Rica
l_160012159,2 Beds,2 Baths,,"('904.16 Sqft', ' sqft')",Condominium,"398,000 ",Costa Rica
l_112456607,2 Beds,2 Baths,,,Residential,"369,000  80",Costa Rica
l_158225883,8 Beds,9 Baths,,"('7,000 Sqft', ' sqft')",Residential,"2,200,000 ",Costa Rica
l_133968071,,,1.236 ac Lot Size,,Lots and Land,"135,000 ",Costa Rica
l_143021769,3 Beds,4 Baths,0.152 ac Lot Size,"('6,609.04 Sqft', ' sqft')",Condominium,"4,295,000 ",Costa Rica
l_156214033,8 Beds,7 Baths,1.35 ac Lot Size,,Residential,"995,000  205",Costa Rica
l_153383491,6 Beds,6 Baths,681.492 ac Lot Size,"('3,229.17 Sqft', ' sqft')",Farm and Ranch,"2,950,000 ",Costa Rica
l_114213514,3 Beds,3 Baths,,"('1,485 Sqft', ' sqft')",Condominium,"474,663 ",Costa Rica
l_158716175,2 Beds,2 Baths,0.035 ac Lot Size,"('1,528.48 Sqft', ' sqft')",Residential,"315,000 ",Costa Rica
l_142193000,3 Beds,2 Baths,0.232 ac Lot Size,"('4,197.93 Sqft', ' sqft')",Residential,"899,000 ",Costa Rica
l_141934330,3 Beds,2 Baths,0.315 ac Lot Size,"('1,603 Sqft', ' sqft')",Residential,"325,000 ",Costa Rica
l_118860441,,,18.145 ac Lot Size,,Lots and Land,"525,000 ",Costa Rica
l_153892463,9 Beds,7 Baths,574.084 ac Lot Size,"('25,833.38 Sqft', ' sqft')",Residential,"6,000,000 ",Costa Rica
l_159420562,3 Beds,2 Baths,1.762 ac Lot Size,"('1,678 Sqft', ' sqft')",Residential,"569,000 ",Costa Rica
l_155915247,3 Beds,2 Baths,,"('2,300 Sqft', ' sqft')",Residential,"495,000 ",Costa Rica
l_161256084,6 Beds,4 Baths,0.291 ac Lot Size,"('3,336 Sqft', ' sqft')",Residential,"425,000 ",Costa Rica
l_161133154,,,1 ac Lot Size,"('6,458.35 Sqft', ' sqft')",Residential,"975,000 ",Costa Rica
l_159219692,4 Beds,4 Baths,0.103 ac Lot Size,"('4,472.19 Sqft', ' sqft')",Residential,"1,195,000 ",Costa Rica
l_158963252,2 Beds,2 Baths,,"('1,127 Sqft', ' sqft')",Condominium,"610,000 ",Costa Rica
l_157618107,4 Beds,4 Baths,0.259 ac Lot Size,"('6,458.35 Sqft', ' sqft')",Condominium,"1,300,000 ",Costa Rica
l_159633021,3 Beds,3 Baths,,"('1,506 Sqft', ' sqft')",Residential,"271,200 ",Costa Rica
l_160867626,7 Beds,8 Baths,2.142 ac Lot Size,"('3,336.81 Sqft', ' sqft')",Residential,"899,990 ",Costa Rica
l_158225920,4 Beds,3 Baths,0.376 ac Lot Size,"('290 Sqft', ' sqft')",Residential,"440,000  60",Costa Rica
l_154308944,4 Beds,4 Baths,0.639 ac Lot Size,,Residential,"1,750,000 ",Costa Rica
l_154973462,4 Beds,3 Baths,,"('2,604.87 Sqft', ' sqft')",Residential,"3,300,000 ",Costa Rica
l_157293328,2 Beds,2 Baths,,"('785.77 Sqft', ' sqft')",Residential,"255,000 ",Costa Rica
l_158298907,3 Beds,3 Baths,7.174 ac Lot Size,"('3,282.99 Sqft', ' sqft')",Residential,"410,000 ",Costa Rica
l_154131770,12 Beds,10 Baths,0.815 ac Lot Size,"('4,843.76 Sqft', ' sqft')",Residential,"935,000 ",Costa Rica
l_155850856,3 Beds,3 Baths,0.116 ac Lot Size,"('1,044 Sqft', ' sqft')",Residential,"570,000 ",Costa Rica
l_154077791,6 Beds,6 Baths,0.621 ac Lot Size,"('7,534.74 Sqft', ' sqft')",Residential,"1,750,000  245",Costa Rica
l_143936677,3 Beds,4 Baths,,"('6,243.07 Sqft', ' sqft')",Residential,"1,590,000 ",Costa Rica
l_158180775,3 Beds,2 Baths,0.078 ac Lot Size,"('1,829.86 Sqft', ' sqft')",Residential,"295,000 ",Costa Rica
l_147037942,4 Beds,4 Baths,,"('3,500 Sqft', ' sqft')",Residential,"1,250,000 ",Costa Rica
l_137206313,4 Beds,4 Baths,,"('4,714.59 Sqft', ' sqft')",Residential,"1,075,000 ",Costa Rica
l_145110960,3 Beds,2 Baths,1.61 ac Lot Size,"('2,000 Sqft', ' sqft')",Residential,"589,000 ",Costa Rica
l_158850477,,,0.067 ac Lot Size,,Residential,"70,000 ",Costa Rica
l_152747524,,,1.532 ac Lot Size,,Residential,"6,300,000 ",Costa Rica
l_160756552,4 Beds,4 Baths,,"('3,000 Sqft', ' sqft')",Condominium,"1,150,000 ",Costa Rica
l_159660080,4 Beds,2 Baths,1.727 ac Lot Size,"('3,465.98 Sqft', ' sqft')",Residential,"557,000  100",Costa Rica
l_152767710,3 Beds,2 Baths,,"('2,475.7 Sqft', ' sqft')",Residential,"255,000 ",Costa Rica
l_159896216,5 Beds,5 Baths,0.111 ac Lot Size,"('4,768.39 Sqft', ' sqft')",Residential,"3,650,000 ",Costa Rica
l_156026869,2 Beds,2 Baths,0.063 ac Lot Size,"('1,184 Sqft', ' sqft')",Residential,"225,000 ",Costa Rica
l_159467301,,,0.24 ac Lot Size,,Lots and Land,"105,500 ",Costa Rica
l_157286315,3 Beds,3 Baths,0.111 ac Lot Size,"('2,529.52 Sqft', ' sqft')",Residential,"439,000 ",Costa Rica
l_143525532,,,40.492 ac Lot Size,"('1,763,828.12 Sqft', ' sqft')",Residential,"491,595 ",Costa Rica
l_139702667,3 Beds,2 Baths,0.154 ac Lot Size,"('1,614.59 Sqft', ' sqft')",Residential,"350,000 ",Costa Rica
l_155934335,6 Beds,6 Baths,0.52 ac Lot Size,"('7,696 Sqft', ' sqft')",Residential,"2,300,000 ",Costa Rica
l_158302719,,,4.325 ac Lot Size,,Lots and Land,"457,000 ",Costa Rica
l_143940562,3 Beds,3 Baths,1.995 ac Lot Size,"('2,152.78 Sqft', ' sqft')",Residential,"695,000 ",Costa Rica
l_161174447,1 Bed,1 Bath,,"('305.05 Sqft', ' sqft')",Residential,"134,000 ",Costa Rica
l_154740123,5 Beds,4 Baths,,"('5,360.43 Sqft', ' sqft')",Residential,"1,288,000 ",Costa Rica
l_155550299,3 Beds,3 Baths,0.07 ac Lot Size,"('2,378.82 Sqft', ' sqft')",Residential,"499,000 ",Costa Rica
l_159465952,2 Beds,1 Bath,,"('1,130 Sqft', ' sqft')",Residential,"339,900 ",Costa Rica
l_145104757,4 Beds,4 Baths,1.26 ac Lot Size,"('6,210.78 Sqft', ' sqft')",Residential,"2,950,000 ",Costa Rica
l_158916315,4 Beds,3 Baths,,"('3,132 Sqft', ' sqft')",Condominium,"1,300,000 ",Costa Rica
l_160260892,2 Beds,2 Baths,,"('1,200 Sqft', ' sqft')",Residential,"415,000 ",Costa Rica
l_142874485,6 Beds,6 Baths,,"('5,000 Sqft', ' sqft')",Residential,"1,550,000 ",Costa Rica
l_159079571,3 Beds,2 Baths,1.5 ac Lot Size,,Residential,"697,000 ",Costa Rica
l_156524933,3 Beds,2 Baths,0.128 ac Lot Size,"('2,152.78 Sqft', ' sqft')",Residential,"395,000 ",Costa Rica
l_159467233,,,1.754 ac Lot Size,"('3,121.53 Sqft', ' sqft')",Residential,"775,000 ",Costa Rica
l_159947893,2 Beds,2 Baths,,"('3,131 Sqft', ' sqft')",Residential,"779,000 ",Costa Rica
l_158717867,2 Beds,2 Baths,,"('764 Sqft', ' sqft')",Residential,0.000000 ,Costa Rica
l_126570649,2 Beds,2 Baths,0.303 ac Lot Size,"('2,543.94 Sqft', ' sqft')",Residential,"285,000  55",Costa Rica
l_152747526,4 Beds,4 Baths,2.5 ac Lot Size,"('5,500 Sqft', ' sqft')",Residential,"2,799,000 ",Costa Rica
l_154405167,10 Beds,8 Baths,0.198 ac Lot Size,"('8,611.13 Sqft', ' sqft')",Residential,"3,600,000 ",Costa Rica
l_156968460,4 Beds,3 Baths,0.111 ac Lot Size,"('3,056.95 Sqft', ' sqft')",Residential,"1,250,000 ",Costa Rica
l_156969465,2 Beds,2 Baths,,"('1,044.1 Sqft', ' sqft')",Residential,"190,000 ",Costa Rica
l_140027728,4 Beds,3 Baths,1.237 ac Lot Size,"('2,497.23 Sqft', ' sqft')",Residential,"450,000  65",Costa Rica
l_159467228,,,1.236 ac Lot Size,,Lots and Land,"249,990 ",Costa Rica
l_160447546,,,2.965 ac Lot Size,,Residential,"240,000 ",Costa Rica
l_160653746,,,0.55 ac Lot Size,,Residential,"295,000 ",Costa Rica
l_136946301,6 Beds,8 Baths,,"('14,563.57 Sqft', ' sqft')",Residential,"4,350,000 ",Costa Rica
l_159911079,3 Beds,3 Baths,1.73 ac Lot Size,"('165 Sqft', ' sqft')",Residential,"535,000 ",Costa Rica
l_160371461,8 Beds,9 Baths,1.73 ac Lot Size,"('6,619.8 Sqft', ' sqft')",Residential,"2,400,000 ",Costa Rica
l_160433290,2 Beds,2 Baths,,"('678 Sqft', ' sqft')",Residential,"255,000 ",Costa Rica
l_160617562,4 Beds,3 Baths,0.23 ac Lot Size,"('2,927.78 Sqft', ' sqft')",Residential,"495,000 ",Costa Rica
