Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_155975038,,,,"('32,916.04 Sqft', ' sqft')",Residential,"299,000 ",Nicaragua
l_157296159,4 Beds,3 Baths,,"('13,067.39 Sqft', ' sqft')",Residential,"695,000 ",Nicaragua
l_158293936,3 Beds,3 Baths,,"('2,583 Sqft', ' sqft')",Residential,"369,000 ",Nicaragua
l_153738633,4 Beds,4 Baths,,"('87,119.97 Sqft', ' sqft')",Residential,"2,700,000 ",Nicaragua
l_158300248,,,,,Residential,"489,000 ",Nicaragua
l_115922977,3 Beds,2 Baths,,,Residential,"245,000 ",Nicaragua
l_157466846,,,3.737 ac Lot Size,,Lots And Land,"471,900 ",Nicaragua
l_159295718,3 Beds,2 Baths,0.053 ac Lot Size,,Residential,"79,500 ",Nicaragua
l_145094333,5 Beds,4 Baths,,"('4,036 Sqft', ' sqft')",Residential,"945,000 ",Nicaragua
l_115677059,,,,,Residential,"159,000 ",Nicaragua
l_151066433,3 Beds,2 Baths,0.116 ac Lot Size,,Other,"119,000 ",Nicaragua
l_158292434,3 Beds,3 Baths,,"('2,900 Sqft', ' sqft')",Residential,"369,000 ",Nicaragua
l_157294323,,,,,Residential,"495,000 ",Nicaragua
l_159295731,4 Beds,2 Baths,0.047 ac Lot Size,,Residential,"75,000 ",Nicaragua
l_157287161,,,,"('44,896.27 Sqft', ' sqft')",Lots And Land,"75,000 ",Nicaragua
l_139665489,3 Beds,3 Baths,,,Residential,"264,000 ",Nicaragua
l_145094374,4 Beds,4 Baths,,,Residential,"580,000 ",Nicaragua
l_158300309,4 Beds,4 Baths,,"('8,180.57 Sqft', ' sqft')",Residential,"369,000 ",Nicaragua
l_159295759,1 Bed,2 Baths,0.173 ac Lot Size,,Residential,"120,000 ",Nicaragua
l_154743870,2 Beds,1 Bath,0.052 ac Lot Size,,Other,"180,000 ",Nicaragua
l_160033129,3 Beds,3 Baths,0.084 ac Lot Size,,Residential,"290,000 ",Nicaragua
l_157293048,3 Beds,2 Baths,,"('15,424.68 Sqft', ' sqft')",Residential,"199,000 ",Nicaragua
l_147087772,5 Beds,4 Baths,0.235 ac Lot Size,,Residential,"254,600 ",Nicaragua
l_158300635,2 Beds,2 Baths,,,Residential,"199,000 ",Nicaragua
l_157293037,4 Beds,4 Baths,,,Residential,"650,000 ",Nicaragua
l_157293514,5 Beds,5 Baths,,,Residential,"570,000 ",Nicaragua
l_159295757,4 Beds,3 Baths,0.181 ac Lot Size,,Residential,"260,000 ",Nicaragua
l_159953335,4 Beds,4 Baths,0.177 ac Lot Size,,Residential,"60,000 ",Nicaragua
l_154743872,2 Beds,2 Baths,0.071 ac Lot Size,,Residential,"119,400 ",Nicaragua
l_160822739,3 Beds,1 Bath,0.063 ac Lot Size,,Residential,"70,000 ",Nicaragua
l_157294774,2 Beds,2 Baths,,"('1,431 Sqft', ' sqft')",Residential,"400,000 ",Nicaragua
l_156164039,3 Beds,3 Baths,,"('27,458.74 Sqft', ' sqft')",Residential,"349,000 ",Nicaragua
l_157781207,,,0.119 ac Lot Size,,Lots And Land,"48,300  5.2",Nicaragua
l_142166790,5 Beds,5 Baths,,,Residential,"499,000 ",Nicaragua
l_156163994,5 Beds,5 Baths,,"('234,254.98 Sqft', ' sqft')",Residential,"429,000 ",Nicaragua
